geonameid	name	latitude	longitude	cc	timezone
3430709	Mercedes	-29.18416	-58.07519	AR	America/Argentina/Cordoba
3430835	Haedo	-34.64239	-58.59212	AR	America/Argentina/Buenos_Aires
3430863	Mar del Plata	-38.00042	-57.5562	AR	America/Argentina/Buenos_Aires
3430988	Lujan	-34.5664	-59.11478	AR	America/Argentina/Buenos_Aires
3431057	Los Polvorines	-34.50316	-58.70596	AR	America/Argentina/Buenos_Aires
3432043	La Plata	-34.92145	-57.95453	AR	America/Argentina/Buenos_Aires
3432079	La Paz	-30.74179	-59.64517	AR	America/Argentina/Cordoba
3433349	Jardin America	-27.04346	-55.22698	AR	America/Argentina/Cordoba
3433522	Hurlingham	-34.5904	-58.62904	AR	America/Argentina/Buenos_Aires
3433658	Gualeguaychu	-33.00777	-58.51836	AR	America/Argentina/Cordoba
3433663	Gualeguay	-33.14091	-59.31257	AR	America/Argentina/Cordoba
3433715	Goya	-29.13995	-59.26343	AR	America/Argentina/Cordoba
3433753	Gobernador Virasora	-28.05	-56.03333	AR	America/Argentina/Cordoba
3433787	General Pacheco	-34.45256	-58.64312	AR	America/Argentina/Buenos_Aires
3433803	General Jose de San Martin	-26.53643	-59.34138	AR	America/Argentina/Cordoba
3433836	Garupa	-27.48315	-55.82924	AR	America/Argentina/Cordoba
3433899	Formosa	-26.18489	-58.17313	AR	America/Argentina/Cordoba
3433901	Fontana	-27.42039	-59.03731	AR	America/Argentina/Cordoba
3433956	Federal	-30.95619	-58.7797	AR	America/Argentina/Cordoba
3434095	Esquina	-30.01476	-59.5289	AR	America/Argentina/Cordoba
3434291	El Soberbio	-27.29662	-54.19811	AR	America/Argentina/Cordoba
3434509	El Palomar	-34.61771	-58.60153	AR	America/Argentina/Buenos_Aires
3435010	Don Torcuato	-34.49459	-58.62729	AR	America/Argentina/Buenos_Aires
3435038	Dolores	-36.31539	-57.67546	AR	America/Argentina/Buenos_Aires
3435103	Curuzu Cuatia	-29.79145	-58.0499	AR	America/Argentina/Cordoba
3435217	Corrientes	-27.46784	-58.8344	AR	America/Argentina/Cordoba
3435261	Concordia	-31.39195	-58.01706	AR	America/Argentina/Cordoba
3435264	Concepcion del Uruguay	-32.48463	-58.23217	AR	America/Argentina/Cordoba
3435356	Colegiales	-34.57365	-58.44924	AR	America/Argentina/Buenos_Aires
3435486	Chajari	-30.75482	-57.98196	AR	America/Argentina/Cordoba
3435607	Castelar	-34.65142	-58.64074	AR	America/Argentina/Buenos_Aires
3435810	Campana	-34.16327	-58.95919	AR	America/Argentina/Buenos_Aires
3435910	Buenos Aires	-34.61315	-58.37723	AR	America/Argentina/Buenos_Aires
3436003	Boedo	-34.63333	-58.41667	AR	America/Argentina/Buenos_Aires
3436043	Berazategui	-34.76531	-58.21278	AR	America/Argentina/Buenos_Aires
3436061	Bella Vista	-34.5651	-58.69034	AR	America/Argentina/Buenos_Aires
3436077	Belgrano	-34.5627	-58.45829	AR	America/Argentina/Buenos_Aires
3436124	Barranqueras	-27.48132	-58.93925	AR	America/Argentina/Cordoba
3436134	Barracas	-34.64966	-58.38341	AR	America/Argentina/Buenos_Aires
3436177	Balcarce	-37.84638	-58.25549	AR	America/Argentina/Buenos_Aires
3436199	Azul	-36.77803	-59.85848	AR	America/Argentina/Buenos_Aires
3436230	Avellaneda	-29.11761	-59.65834	AR	America/Argentina/Cordoba
3436287	Aristobulo del Valle	-27.09571	-54.89344	AR	America/Argentina/Cordoba
3832132	Zapala	-38.90056	-70.06674	AR	America/Argentina/Salta
3832260	Yerba Buena	-26.81298	-65.29543	AR	America/Argentina/Tucuman
3832647	Villa Regina	-39.09631	-67.08374	AR	America/Argentina/Salta
3832653	Villa Paula de Sarmiento	-31.4933	-68.53838	AR	America/Argentina/San_Juan
3832662	Villa Nueva	-32.43289	-63.24811	AR	America/Argentina/Cordoba
3832694	Villa Maria	-32.40751	-63.24016	AR	America/Argentina/Cordoba
